date,open,high,low,close,volume,rsi_7,rsi_14,cci_7,cci_14,sma_50,ema_50,sma_100,ema_100,macd,bollinger,TrueRange,atr_7,atr_14,next_day_close
2014/4/1,19.205713,19.352501,19.170357,19.344643,200760000,63.94349468,58.07544259,17.07083198,74.1510588,18.93223574,19.04554719,19.1798,18.85603083,0.085146903,19.0716965,0.183214,0.229855725,0.256510695,19.376785
2014/4/2,19.370714,19.41,19.295,19.376785,180420800,65.55339026,58.86539159,59.81171589,87.05926482,18.92757856,19.05853695,19.18752499,18.86636176,0.095950161,19.0898929,0.115,0.213447764,0.246402789,19.2425
2014/4/3,19.335358,19.375,19.201429,19.2425,162344000,53.83694476,54.26505014,3.165129318,48.87860459,18.91849282,19.06575121,19.19691786,18.87382347,0.092608609,19.10425005,0.175356,0.208006084,0.241328018,18.99357
2014/4/4,19.278929,19.285713,18.949286,18.99357,275251200,38.82819674,46.94150361,-145.7743535,-44.76131761,18.9010928,19.06292057,19.20093927,18.87619888,0.069077551,19.10671425,0.336427,0.226351929,0.248120802,18.695356
2014/4/7,18.857857,18.960714,18.638929,18.695356,289850400,27.94122526,39.98032156,-191.6283803,-171.1832236,18.8849499,19.04850623,19.20251783,18.87261163,0.026065178,19.09341055,0.354641,0.244678939,0.255729388,18.694286
2014/4/8,18.756786,18.790001,18.525,18.694286,243888400,27.90846869,39.95742534,-128.8422942,-168.2787656,18.86562136,19.0346152,19.20374282,18.86907443,-0.008016371,19.07082135,0.265001,0.247582091,0.256391646,18.940001
2014/4/9,18.665714,18.946072,18.643572,18.940001,206169600,45.13938332,47.40619896,-54.49449289,-100.426881,18.88263564,19.03090483,19.20720354,18.87048126,-0.015025887,19.0595893,0.3025,0.255427506,0.2596851,18.695715
2014/4/10,18.952856,19.008572,18.684643,18.695715,239652000,35.34166791,41.84780026,-50.26632264,-104.2308039,18.89887138,19.01776009,19.20553211,18.86701489,-0.03983364,19.04678575,0.323929,0.265213434,0.26427395,18.557501
2014/4/11,18.535713,18.672501,18.469286,18.557501,271717600,30.91266564,39.0574628,-105.8309251,-137.1583269,18.9130357,18.99971067,19.20361069,18.86087611,-0.069841588,19.0377143,0.226429,0.2596728,0.261570739,18.63143
2014/4/14,18.639286,18.648571,18.471786,18.63143,205674000,35.92368386,41.31161748,-89.54497642,-107.9765134,18.92809288,18.98526826,19.2047,18.8563255,-0.086658703,19.02867865,0.176785,0.247831686,0.255514615,18.498571
2014/4/15,18.581072,18.629999,18.261786,18.498571,266490000,31.18179288,38.5518693,-121.7355773,-116.0138613,18.9398286,18.96618204,19.20413214,18.84923037,-0.10944538,19.00467865,0.369644,0.265233445,0.263666714,18.536072
2014/4/16,18.501785,18.610357,18.362143,18.536072,214765600,34.04856776,39.77482819,-73.21734491,-92.58807903,18.94712864,18.94931495,19.20556429,18.84301988,-0.123059416,18.98280365,0.248214,0.262802096,0.262562949,18.747856
2014/4/17,18.571428,18.848572,18.542856,18.747856,284334400,48.25168152,46.27753394,39.82635089,-37.69313215,18.95595004,18.94141458,19.20692142,18.84113267,-0.115428847,18.9760893,0.3125,0.269901796,0.266129881,18.970358
2014/4/21,18.762142,19.004999,18.712856,18.970358,182548800,59.0587518,52.12599102,124.8252994,14.78749099,18.96927864,18.94254962,19.21098215,18.84369529,-0.090385606,18.97305365,0.292143,0.273079111,0.267987961,18.989286
2014/4/22,18.868214,18.993929,18.803572,18.989286,202563200,59.89009615,52.59874016,113.3868735,35.37917209,18.97786438,18.94438242,19.21382501,18.84658236,-0.068224871,18.95967865,0.190357,0.261261667,0.262442892,18.741072
2014/4/23,18.895,18.968929,18.730356,18.741072,394940000,45.69453735,46.16127396,47.9771367,14.01453218,18.97483582,18.93640945,19.21073574,18.84449014,-0.069885528,18.92353585,0.25893,0.260928572,0.262191971,20.2775
2014/4/24,20.293215,20.357143,20.026072,20.2775,759911600,79.97372111,70.35067312,233.3333333,368.9049635,18.99755722,18.98900133,19.21852503,18.87290522,0.052173861,18.973518,1.616071,0.454520347,0.358897616,20.42643
2014/4/25,20.161785,20.428213,20.14143,20.42643,390275200,81.30803693,71.67896666,122.7315643,243.0602033,19.02328584,19.04537118,19.22419289,18.90370915,0.159090319,19.0350895,0.286783,0.430557869,0.353746572,21.217501
2014/4/28,20.457144,21.276787,20.448214,21.217501,669485600,86.77044085,77.45624654,115.9963565,207.1142876,19.05875726,19.13055289,19.23950003,18.94958676,0.304149158,19.137286,0.850357,0.490529173,0.389218746,21.154642
2014/4/29,21.205,21.285,21.053928,21.154642,337377600,84.48173225,76.12734837,95.49962369,157.4343362,19.09328584,19.20992906,19.24878931,18.99330722,0.409318765,19.23655375,0.231072,0.453463863,0.377922549,21.074642
2014/4/30,21.165714,21.408215,21.064285,21.074642,456640800,81.29777897,74.37835161,81.16898494,121.6997193,19.12478582,19.28305517,19.25775001,19.03457358,0.480670238,19.3230537,0.34393,0.437816168,0.37549451,21.124287
2014/5/1,21.142857,21.242857,20.941429,21.124287,244048000,81.79452924,74.7657949,57.83894048,95.04605419,19.16343584,19.35526045,19.26617145,19.07600504,0.53505495,19.4104288,0.301428,0.418332144,0.370204045,21.16357
2014/5/2,21.155001,21.22143,21.061071,21.16357,191514400,82.23024403,75.0868237,53.0529712,83.3820384,19.20731438,19.42617466,19.27780002,19.11739288,0.574700249,19.5064823,0.160359,0.381478838,0.355215113,21.462856
2014/5/5,21.076429,21.464287,21.071428,21.462856,287067200,85.34731181,77.44149906,91.85807459,82.91898538,19.26139294,19.50604462,19.29013215,19.16389267,0.623086757,19.6299466,0.392859,0.383104575,0.357903962,21.22893
2014/5/6,21.492857,21.586071,21.22893,21.22893,374564400,73.57798658,71.73451231,121.2719416,76.10052721,19.30915014,19.57360885,19.30043931,19.20483195,0.635234947,19.7566253,0.357141,0.379395493,0.357849465,21.154642
2014/5/7,21.258928,21.331785,20.990356,21.154642,282864400,70.0015045,69.97100969,-40.22488847,56.98301565,19.35934298,19.63561023,19.31150002,19.24348596,0.631587507,19.8796431,0.341429,0.373971708,0.356676575,20.999643
2014/5/8,21.008928,21.22893,20.942858,20.999643,230297200,62.59512923,66.30823392,-103.2204041,42.86104211,19.40980012,19.68910178,19.3213036,19.27830012,0.609167655,19.9826252,0.286072,0.361414607,0.351633391,20.912144
2014/5/9,20.876429,20.9375,20.72607,20.912144,291597600,58.51752324,64.26314112,-161.1767719,17.88047636,19.45113584,19.73706427,19.33241433,19.31068881,0.577680185,20.09344665,0.273573,0.348865806,0.346057649,21.172501
2014/5/12,20.981787,21.202143,20.978571,21.172501,213208800,66.16824207,67.47740549,-16.29452167,40.31587321,19.49870012,19.79335597,19.34503221,19.34759586,0.567196484,20.22419665,0.289999,0.340456262,0.342053459,21.205713
2014/5/13,21.142857,21.23357,21.09643,21.205713,159737200,67.07204731,67.87434801,15.83235523,46.4992821,19.54584294,19.84874258,19.35887862,19.38442889,0.555168371,20.3529108,0.13714,0.311411082,0.327416784,21.209642
2014/5/14,21.158215,21.335714,21.133572,21.209642,166404000,67.19300973,67.92422398,57.30562327,59.35996367,19.59057864,19.90211124,19.37427147,19.42060891,0.539731355,20.48846435,0.202142,0.295801213,0.318468585,21.029285
2014/5/15,21.239286,21.307142,21.001429,21.029285,230846000,56.14690146,63.08266702,9.108152763,-21.33575018,19.6309072,19.94631418,19.39011432,19.45249601,0.50709859,20.613125,0.305713,0.297217183,0.317557472,21.339643
2014/5/16,21.022499,21.340357,20.907143,21.339643,276256400,67.02864955,67.39015189,69.81353822,34.34572785,19.67859292,20.00095458,19.40743218,19.4899022,0.50051061,20.74271435,0.433214,0.316645299,0.325818652,21.592501
2014/5/19,21.351786,21.690357,21.333214,21.592501,317755200,73.32118255,70.4185397,193.7461111,228.2665804,19.73155722,20.06336822,19.41975362,19.53157817,0.509816271,20.8738215,0.357143,0.322430685,0.328056106,21.596786
